VIDEOJUEGO,PC,PS4,PS5,SWITCH,XBOne,XSX,ANDROID,DESCRIPCION,ENTORNO,FECHAESTRENO,GENERO,IPHONE,MODOPARTIDA,MULTIJUGADOR,PLATAFORMA,ROL
Kena: Bridge of the Spirits,PC,PS4,PS5,,,,,Ember Lab,,Fecha de lanzamiento: Año 2021,,,,,PS5,
Inazuma Eleven: Great Road of Heroes,,PS4,,Switch,,,Android,,,Fecha de lanzamiento: Año 2020,,iPhone,,,PS4,
Immortals Fenyx Rising,PC,PS4,PS5,Switch,XBOne,XSX,,,,Fecha de lanzamiento: 3/12/2020,,,,,PS4,
House Party,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Horizon 2: Forbidden West,,PS4,PS5,,,,,,,Fecha de lanzamiento: Año 2021,,,,,PS5,
Hollow Knight: Silksong,PC,,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Hogwarts Legacy,PC,,PS5,,XBOne,,,,,Fecha de lanzamiento: Año 2021,,,,,PS5,
Hellblade 2,PC,,,,XBOne,XSX,,,,Fecha de lanzamiento: Año 2021,,,,,XBOne,
Haven,PC,PS4,PS5,Switch,,,,ciencia ficción,,Fecha de lanzamiento: Año 2020,,,cooperativo,,PC,
Halo Infinite,PC,,,,XBOne,XSX,,"Xbox One, Xbox Series X y PC",,Fecha de lanzamiento: Año 2021,,,,,XBOne,
Grand Theft Auto VI,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2022,,,,,PS4,
Granblue Fantasy: Relink,,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Golf It!,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Gintama Rumble,,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,musou,,,Gintama Rumble,PS4,
GhostWire: Tokyo,PC,PS4,PS5,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,GhostWire: Tokyo,PS4,
Genshin Impact,PC,PS4,,Switch,,,Android,,,Fecha de lanzamiento: 28/9/2020,,iPhone,,,PC,
Final Fantasy XVI,PC,,PS5,,,,,,,Fecha de lanzamiento: Año 2021,,,,,PS5,
Fear Effect Reinvented,PC,PS4,,Switch,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Escape from Tarkov,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Elden Ring,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,acción y rol
Edge of Eternity,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,steampunk,,,,PS4,
Dying Light 2,PC,PS4,PS5,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,parkour,XBOne,"Xbox One, PS4 y PC."
Dragon Age 4,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Digimon Survive,PC,PS4,,Switch,XBOne,,,Takuma Momozuka,,Fecha de lanzamiento: Año 2020,,,,,Switch,
Diablo 4,PC,PS4,,,,,,"Xbox One, PS4 y PC.",,Fecha de lanzamiento: Año 2020,,,loot,,PC,
Demon's Souls Remake,,,PS5,,,,,actualización,,Fecha de lanzamiento: 19/11/2020,,,,,PS5,
